Company Name,Year,Advertising,Cash Flow from Operations,Current Assets,Current Liabilities,Earnings Before Tax,EBITDA,Inventories,Long Term Debt,Net Income,Net Property Plant & Equip,Operating Income,Research & Development,Selling General & Admin,Stockholders Equity,Total Assets,Total Liabilities,Total Revenue
"Old Dominion Freight Line, Inc.",2020,19000000,933024000,1243339000,373130000,901364000,1163616000,-,99931000,672682000,2914031000,906882000,-,2728453000,3326288000,4369410000,1043122000,4015129000
"Omnicom Group, Inc.",2020,-,1724600000,15590100000,15525100000,1409300000,1681900000,1101200000,5807300000,945400000,585200000,1598800000,-,360500000,3084400000,27647200000,24562800000,13171100000
ONEOK Inc,2020,-,1899068000,1869775000,1344547000,659075000,1950623000,370988000,14228421000,612809000,19154928000,1360030000,-,0,6042398000,23078754000,17036356000,8542242000
Oracle Corp,2020,178000000,13139000000,52140000000,17200000000,12227000000,16663000000,-,69226000000,10135000000,6244000000,13896000000,6067000000,9287000000,12074000000,115438000000.00,103364000000.00,39068000000
Organon & Co,2020,217000000,2187000000,3378000000,2484000000,2680000000,2827000000,971000000,-,2160000000,998000000,2709000000,304000000,1666000000,5486000000,9920000000,4434000000,8096000000
Otis Worldwide Corp,2020,-,1480000000,6493000000,6673000000,1511000000,1733000000,659000000,5262000000,906000000,774000000,1639000000,152000000,1924000000,-3832000000,10710000000,14542000000,12756000000
PACCAR Inc.,2020,-,2987200000,7903600000,4217500000,1657900000,2803900000,1221900000,10853300000,1298400000,3270400000,1760000000,273900000,581400000,10390000000,28260000000,17870000000,18728500000
Packaging Corp of America,2020,-,1032800000,2750300000,782600000,632700000,1088700000,787900000,2493800000,461000000,3193400000,723900000,-,539600000,3246300000,7433200000,4186900000,6658200000
Parker Hannifin Corp,2020,-,2070949000,4885204000,3148373000,1512627000,2073687000,1814631000,7652256000,1206341000,2292735000,1752449000,293837000,1656553000,6113983000,19738189000,13624206000,13695520000
Paychex Inc,2020,-,1440900000,5464600000,4426900000,1437100000,1591400000,-,796800000,1098100000,407400000,1460500000,-,1299200000,2781400000,8550700000,5769300000,4040500000
Paycom Software Inc,2020,66900000,227207000,1864605000,1718030000,185936000,239155000,1151000,29119000,143453000,285218000,186123000,90244000,413916000,655643000,2607912000,1952269000,841434000
PayPal Holdings Inc,2020,654000000,5854000000,50995000000,38447000000,5065000000,5924000000,-,8939000000,4202000000,1807000000,3289000000,1400000000,5709000000,20019000000,70379000000,50360000000,21454000000
Penn National Gaming Inc,2020,-,338800000,2085000000,860000000,-848000000,32100000,-,6327600000,-669500000,4529300000,-410200000,-,1130800000,2656200000,14667300000,12011100000,3578700000
Pentair PLC,2020,-,573600000,975100000,772500000,432100000,502700000,420000000,839600000,358600000,301200000,461400000,75700000,520500000,2106300000,4197200000,2090900000,3017800000
People's United Financial Inc,2020,-,842900000,-,-,348600000,-,-,-,219600000,276700000,-,-,-,7602800000,63091800000,55489000000,2256800000
PepsiCo Inc,2020,3000000000,10613000000,23001000000,23372000000,9069000000,12532000000,4172000000,40370000000,7120000000,21369000000,10080000000,719000000,28495000000,13454000000,92918000000,79464000000,70372000000
"PerkinElmer, Inc.",2020,-,892177000,2238920000,1652189000,906364000,1009066000,514567000,1609701000,727887000,368304000,978581000,205389000,917894000,3735492000,7960315000,4224823000,3782745000
Pfizer Inc,2020,1800000000,14403000000,35067000000,25920000000,7497000000,12309000000,8046000000,37133000000,9616000000,13900000000,7704000000,9405000000,11615000000,63238000000,154229000000.00,90991000000,41908000000
Philip Morris International Inc,2020,637000000,9812000000,21492000000,19615000000,10953000000,12552000000,9591000000,28168000000,8056000000,6365000000,11668000000,495000000,7384000000,-12567000000,44815000000,57382000000,28694000000
Phillips 66,2020,51000000,2111000000,13276000000,9518000000,-4964000000,-3070000000,3893000000,14906000000,-3975000000,23716000000,-4465000000,48000000,1544000000,18984000000,54721000000,35737000000,65494000000
Pinnacle West Capital Corp,2020,-,966365000,1198319000,1360433000,648225000,1539192000,334297000,6314266000,550559000,15159210000,788152000,-,0,5633503000,20020421000,14386918000,3586982000
Pioneer Natural Resources Co,2020,-,2083000000,2595000000,1906000000,-261000000,1579000000,224000000,3160000000,-200000000,16023000000,-132000000,-,244000000,11569000000,19229000000,7660000000,6685000000
PNC Financial Services Group (The),2020,-,4659000000,-,-,3429000000,-,-,-,7517000000,-,-,-,-,54010000000,466679000000.00,412669000000.00,18262000000
Pool Corp,2020,6755000,397581000,1121927000,483249000,451674000,491994000,780989000,404149000,366738000,108241000,464027000,-,659931000,639470000,1739670000,1100200000,3936623000
PPG Industries Inc,2020,223000000,2130000000,6798000000,4831000000,1354000000,1840000000,1735000000,5171000000,1059000000,3127000000,1409000000,379000000,3389000000,5689000000,19556000000,13867000000,13834000000
PPL Corp,2020,-,2746000000,2768000000,5977000000,1971000000,4249000000,361000000,21553000000,1469000000,38892000000,2803000000,-,0,13373000000,48116000000,34743000000,7607000000
Principal Financial Group Inc,2020,-,3738600000,-,-,1693500000,-,-,-,1395800000,1019000000,-,-,-,16558900000,296627700000.00,280068800000.00,14741700000
Procter & Gamble Company (The),2020,7326000000,17403000000,27987000000,32976000000,15834000000,19157000000,5498000000,23537000000,13027000000,20692000000,15706000000,1834000000,19994000000,46521000000,120700000000.00,74179000000,70950000000
Progressive Corp. (OH),2020,-,6905600000,-,-,7173200000,-,-,-,5704600000,1106000000,-,-,-,17038600000,64098300000,47059700000,42658100000
Prologis Inc,2020,-,2937005000,939304000,1596168000,1449718000,3206681000,-,16849076000,1481814000,117700000,1401807000,-,492886000,31971547000,56065005000,24093458000,4438735000
Prudential Financial Inc,2020,-,8368000000,-,-,-323000000,-,-,-,-374000000,-,-,-,-,67425000000,940722000000.00,873297000000.00,57033000000
PTC Inc,2020,3800000,233808000,833447000,680760000,134706000,264547000,-,1005314000,130695000,101499000,210863000,256575000,595277000,1438248000,3382738000,1944490000,1458415000
Public Service Enterprise Group Inc,2020,-,3102000000,3630000000,5522000000,2287000000,4105000000,878000000,14496000000,1905000000,37585000000,2147000000,-,-,15984000000,50050000000,34066000000,9603000000
Public Storage,2020,-,2042902000,257560000,-,1280730000,1330790000,-,2544992000,1357213000,-,1411150000,-,83199000,8558867000,11816546000,3257679000,2915068000
PulteGroup Inc,2020,40300000,1784342000,10652039000,1198037000,1726814000,1790310000,7721798000,3164123000,1406839000,131744000,1724225000,-,1011442000,6569989000,12205498000,5635509000,11036082000
PVH Corp,2020,509700000,1020300000,3394200000,2361100000,434400000,824100000,1615700000,2693900000,417300000,1026800000,549100000,-,4805200000,5811500000,13631000000,7819500000,9909000000
Qorvo Inc,2020,-,945646000,1690502000,539003000,395089000,912346000,517198000,1567231000,334325000,1259203000,423216000,484414000,343569000,4292665000,6560682000,2268017000,3239141000
Qualcomm Inc,2020,-,5814000000,18519000000,8672000000,5740000000,6958000000,2598000000,15226000000,5198000000,3711000000,6255000000,5975000000,2074000000,6077000000,35594000000,29517000000,23531000000
"Quanta Services, Inc.",2020,-,1115977000,3588389000,2138556000,560043000,904611000,50472000,1174294000,445596000,1560656000,600068000,-,975074000,4344181000,8398272000,4054091000,11202672000
"Quest Diagnostics, Inc.",2020,-,2005000000,3058000000,1776000000,1884000000,2150000000,223000000,4013000000,1431000000,1627000000,1971000000,-,1550000000,6759000000,14026000000,7267000000,9437000000
Ralph Lauren Corp,2020,278000000,754600000,3375200000,2092000000,326400000,579100000,736200000,585800000,384300000,979500000,317000000,-,3237500000,2693100000,7279900000,4586800000,6159800000
"Raymond James Financial, Inc.",2020,-,4054000000,14482000000,37373000000,1052000000,1158000000,-,2933000000,818000000,535000000,1052000000,-,6275000000,7114000000,47482000000,40368000000,8168000000
Raytheon Technologies Corp,2020,-,4334000000,43376000000,35848000000,-2353000000,780000000,9411000000,31026000000,-3519000000,14962000000,-1889000000,2582000000,5540000000,72163000000,162153000000.00,89990000000,56587000000
Realty Income Corp,2020,-,1115543000,1110177000,583890000,396506000,1098038000,-,8817467000,395486000,-,325508000,-,87908000,10985483000,20740285000,9754802000,1651625000
Regency Centers Corp,2020,-,499118000,378450000,302361000,13148000,484209000,-,3923083000,44889000,-,269555000,-,75001000,5984912000,10936904000,4951992000,1016175000
"Regeneron Pharmaceuticals, Inc.",2020,-,2618100000,9779100000,2697400000,3810400000,4098100000,1916600000,1978500000,3513200000,3221600000,3576600000,2735000000,1346000000,11025300000,17163300000,6138000000,8497100000
Regions Financial Corp (New),2020,-,2324000000,-,-,1314000000,-,-,-,1094000000,1897000000,-,-,-,18111000000,147389000000.00,129278000000.00,6655000000
Republic Services Inc,2020,-,2471600000,1521800000,2282000000,1252100000,2618400000,59100000,8766100000,967200000,8726200000,1709100000,-,1053000000,8483900000,23434000000,14950100000,10153600000
ResMed Inc.,2020,-,802255000,1523459000,602761000,758146000,942797000,416915000,1164133000,621674000,417335000,809659000,201946000,676689000,2497027000,4587376000,2090349000,2957013000
Robert Half International Inc.,2020,37200000,596528000,1842738000,1046626000,421882000,484039000,-,-,306276000,109817000,420539000,-,1666041000,1205289000,2557424000,1352135000,5109000000
"Robinson (C.H.) Worldwide, Inc.",2020,-,499191000,2941701000,1839732000,628331000,716158000,-,1093301000,506421000,178949000,673268000,-,1738989000,1879933000,5144258000,3264325000,16207106000
"Rockwell Automation, Inc.",2020,-,1120500000,2685800000,1810800000,1136100000,1406800000,584000000,1974700000,1023400000,574400000,1271500000,371500000,1479800000,1027800000,7264700000,6236900000,6329800000
"Rollins, Inc.",2020,86314000,435785000,314777000,472511000,354720000,400425000,30843000,185812000,260824000,178052000,361401000,-,656207000,941360000,1845900000,904540000,2161220000
Roper Technologies Inc,2020,-,1525100000,1752300000,2444400000,1209300000,1949000000,198400000,9064500000,949700000,140600000,1431100000,446100000,2111900000,10479800000,24024800000,13545000000,5527100000
Ross Stores Inc,2020,74000000,2171546000,3432828000,2701934000,2164288000,2497082000,1832339000,312891000,1660928000,2653436000,2146182000,-,2356704000,3359249000,9348367000,5989118000,16039073000
Royal Caribbean Group,2020,207200000,-3731653000,4311747000,4537121000,-5775130000,-3516456000,118703000,17957956000,-5797462000,25246595000,-4601557000,-,1199620000,8760669000,32465187000,23704518000,2208805000
S&P Global Inc,2020,29000000,3567000000,5988000000,3587000000,3228000000,3575000000,-,4110000000,2339000000,284000000,3601000000,-,1543000000,509000000,12537000000,12028000000,7442000000
Salesforce.Com Inc,2020,660000000,4331000000,15963000000,14845000000,706000000,1161000000,-,2673000000,126000000,2375000000,297000000,2766000000,9634000000,33885000000,55126000000,21241000000,17098000000
SBA Communications Corp (New),2020,-,1126033000,472990000,614801000,-17749000,679072000,-,11071796000,24104000,2677326000,633694000,-,194267000,-4824382000,9158018000,13982400000,2083138000
Schein (Henry) Inc,2020,30800000,598910000,3791415000,2283102000,499895000,595730000,1512499000,515773000,403794000,342004000,535303000,-,2246947000,3348172000,7772532000,4424360000,10119141000
Schlumberger Ltd,2020,-,2944000000,12919000000,10491000000,-11298000000,-9135000000,3354000000,16036000000,-10518000000,6826000000,-10735000000,580000000,365000000,12071000000,42434000000,30363000000,23868000000
Schwab (Charles) Corp (The),2020,-,6852000000,155187000000.00,462223000000.00,4300000000,4904000000,-,13632000000,3299000000,2883000000,4300000000,-,6342000000,56060000000,549009000000.00,492949000000.00,12109000000
Seagate Technology Holdings PLC,2020,19000000,1714000000,4114000000,2722000000,1032000000,1552000000,1142000000,4156000000,1004000000,2129000000,1300000000,973000000,473000000,1787000000,8930000000,7143000000,10509000000
Sealed Air Corp,2020,-,737000000,1881500000,1367400000,626200000,974700000,596700000,3731400000,502900000,1189700000,788100000,95900000,772700000,172500000,6083800000,5911300000,4903200000
Sempra,2020,-,2591000000,4511000000,6839000000,1489000000,4106000000,308000000,21781000000,3933000000,40003000000,2525000000,-,543000000,23373000000,66623000000,43250000000,11370000000
ServiceNow Inc,2020,172000000,1786599000,4521842000,3737144000,149185000,469863000,-,1640153000,118503000,659641000,198863000,1024327000,2309181000,2834481000,8715057000,5880576000,4519484000
Sherwin-Williams Co (The),2020,363400000,3408600000,4591400000,4594400000,2519200000,3437400000,1804100000,8266900000,2030400000,1834500000,2851900000,97100000,5477900000,3610800000,20401600000,16790800000,18361700000
"Simon Property Group, Inc.",2020,-,2326698000,2248347000,3376240000,1057454000,3196845000,-,26723361000,1112564000,-,1971809000,-,292853000,3225364000,34786846000,31561482000,4607503000
Skyworks Solutions Inc,2020,-,1204500000,2317600000,448400000,891700000,1256000000,806000000,-,814800000,1249500000,891800000,464100000,231400000,4164200000,5106700000,942500000,3355700000
Smith (A O) Corp,2020,97000000,562100000,1618000000,886300000,443900000,531200000,300100000,106400000,344900000,541300000,440200000,80700000,660300000,1848300000,3160700000,1312400000,2895300000
Smucker (J.M.) Co.,2020,198600000,1254800000,1972700000,1587100000,1026700000,1426100000,895300000,5373300000,779500000,1969400000,1223100000,57700000,1474300000,8190900000,16970400000,8779500000,7801000000
"Snap-On, Inc.",2020,38000000,1008600000,3083000000,1164900000,835200000,984200000,746500000,1182100000,627000000,526200000,880500000,57400000,-,3824900000,6557300000,2732400000,3942200000
Southern Company (The),2020,-,6696000000,8617000000,12079000000,3343000000,8682000000,2488000000,45073000000,3134000000,87634000000,4820000000,-,0,28263000000,122935000000.00,94672000000,20375000000
Southwest Airlines Co,2020,156000000,-1127000000,15173000000,7506000000,-4256000000,-2719000000,414000000,10111000000,-3074000000,15831000000,-3816000000,-,5844000000,8876000000,34588000000,25712000000,9048000000
Stanley Black & Decker Inc,2020,76800000,2022100000,6036000000,4558300000,1267000000,2050200000,2737400000,4245400000,1233800000,2053800000,1485600000,211000000,3048500000,11059600000,23566300000,12506700000,14534600000
Starbucks Corp.,2020,258800000,1597800000,7806400000,7346800000,841900000,2742400000,1551400000,14659600000,928300000,6241400000,1239200000,-,12443600000,-7805100000,29374500000,37179600000,23518000000
State Street Corp.,2020,-,3532000000,-,-,2899000000,-,-,-,2420000000,2154000000,-,-,-,26200000000,314706000000.00,288506000000.00,12078000000
STERIS plc (Ireland),2020,12652000,590559000,1208751000,503607000,498681000,659680000,248259000,1150521000,407605000,1111855000,536973000,65546000,716731000,3393876000,5425582000,2031706000,3030895000
Stryker Corp,2020,-,3277000000,9707000000,5041000000,1954000000,2766000000,3494000000,13230000000,1599000000,2752000000,2223000000,984000000,5361000000,13084000000,34330000000,21246000000,14351000000
SVB Financial Group,2020,-,1445487000,-,-,1741881000,-,-,-,1208368000,175818000,-,-,-,8219700000,115511007000.00,107291307000.00,4081758000
Synchrony Financial,2020,-,7487000000,-,-,1797000000,-,-,-,1385000000,-,-,-,-,12701000000,95948000000,83247000000,16472000000
Synopsys Inc,2020,-,991313000,2549217000,2139922000,638159000,850119000,192333000,100823000,664347000,483818000,620141000,1279022000,916540000,4907404000,8030062000,3122658000,3685281000
Sysco Corp,2020,-,1618680000,12348232000,6717853000,293384000,1406804000,3095085000,12902485000,215475000,4458567000,749505000,-,-,1158613000,22628266000,21469653000,52893310000
T Rowe Price Group Inc.,2020,-,1918900000,3014800000,1236200000,3242200000,3431800000,-,-,2372700000,695400000,2745700000,-,3027000000,7707000000,10659000000,2952000000,6206700000
T-Mobile US Inc,2020,1800000000,8640000000,23885000000,21703000000,3530000000,19331000000,2527000000,71018000000,3064000000,41175000000,6636000000,-,18926000000,65344000000,200162000000.00,134818000000.00,68397000000
"Take-Two Interactive Software, Inc.",2020,285607000,685678000,3493351000,2038539000,458439000,463973000,19108000,-,404459000,131888000,425267000,296398000,776659000,2539244000,4948832000,2409588000,3088970000
Tapestry Inc,2020,238000000,407000000,2553100000,1742100000,-624200000,-315800000,736900000,1587900000,-652100000,775200000,-550800000,-,3312400000,2276400000,7924200000,5647800000,4961400000
Target Corp,2020,1647000000,7117000000,12902000000,14487000000,4190000000,7258000000,8992000000,11338000000,3281000000,28519000000,4658000000,-,16233000000,11833000000,42779000000,30946000000,78112000000
TE Connectivity Ltd,2020,-,1992000000,5784000000,3690000000,524000000,1086000000,1950000000,3452000000,-241000000,3650000000,537000000,539000000,1392000000,9383000000,19242000000,9859000000,12172000000
Teledyne Technologies Inc,2020,-,618900000,1722600000,760900000,469700000,561600000,347300000,680900000,401900000,489300000,480100000,196000000,700800000,3228600000,5084800000,1856200000,3086200000
Teleflex Incorporated,2020,-,437143000,1422425000,540027000,357732000,650320000,513196000,2377888000,335324000,473912000,423068000,119747000,743568000,3336457000,7152559000,3816102000,2537156000
"Teradyne, Inc.",2020,12800000,868935000,2415434000,700871000,901015000,1030118000,222189000,376768000,784147000,394800000,928407000,-,464769000,2210805000,3652346000,1441541000,3121469000
Tesla Inc,2020,-,5943000000,26717000000,14248000000,1154000000,3442000000,4101000000,9556000000,721000000,12747000000,1994000000,1491000000,3145000000,22225000000,52148000000,29923000000,31536000000
Texas Instruments Inc.,2020,28000000,6139000000,10239000000,2390000000,6017000000,7001000000,1955000000,6248000000,5595000000,3269000000,5894000000,1530000000,1623000000,9187000000,19351000000,10164000000,14461000000
Textron Inc,2020,-,768000000,7396000000,3270000000,282000000,773000000,3513000000,3860000000,309000000,2516000000,448000000,549000000,1045000000,5845000000,15443000000,9598000000,11651000000
The Gap Inc,2020,687000000,1411000000,4516000000,3209000000,528000000,1128000000,2156000000,1249000000,351000000,3122000000,574000000,-,-,3316000000,13679000000,10363000000,16383000000
Thermo Fisher Scientific Inc,2020,-,8289000000,21957000000,10304000000,7225000000,10038000000,4029000000,19107000000,6375000000,5912000000,7794000000,1181000000,6930000000,34507000000,69052000000,34545000000,32218000000
"TJX Companies, Inc.",2020,452000000,4066540000,8890622000,7150247000,4406183000,5283512000,4872592000,2236625000,3272193000,5325048000,4416209000,-,7454988000,5948212000,24145003000,18196791000,41716977000
Tractor Supply Co.,2020,100900000,1394515000,3258685000,1743798000,968147000,1214052000,1783270000,1017396000,748958000,1248960000,996928000,-,2478524000,1923840000,7049116000,5125276000,10620352000
Trane Technologies plc,2020,-,1435000000,6905600000,4338900000,1288200000,1705200000,1189200000,4496500000,854900000,1349500000,1532800000,165000000,2270600000,6407700000,18156700000,11749000000,12454700000
TransDigm Group Inc,2020,-,1213000000,6960000000,1616000000,740000000,2052000000,1283000000,19384000000,699000000,752000000,1751000000,130900000,727000000,-3972000000,18395000000,22367000000,5103000000
Travelers Companies Inc (The),2020,-,6519000000,-,-,3237000000,-,-,-,2697000000,-,-,-,-,29201000000,116764000000.00,87563000000,31981000000
Trimble Inc,2020,28600000,672000000,1281400000,1311300000,355600000,538400000,301700000,1291400000,389900000,251800000,419800000,475900000,767900000,3596900000,6876900000,3280000000,3147700000
Truist Financial Corp,2020,-,7437000000,-,-,5473000000,-,-,-,4482000000,3870000000,-,-,-,70807000000,509228000000.00,438421000000.00,23841000000
Twitter Inc,2020,56100000,992870000,8637108000,1952826000,-50939000,485361000,-,2568872000,-1135626000,1493794000,26658000,873011000,1450292000,7970082000,13379090000,5409008000,3716349000
"Tyler Technologies, Inc.",2020,-,355089000,1113070000,564277000,175042000,222204000,-,-,194820000,168004000,172926000,88363000,259561000,1986111000,2607274000,621163000,1116663000
Tyson Foods Inc,2020,283000000,3874000000,7883000000,4234000000,2770000000,4145000000,4144000000,10791000000,2140000000,7596000000,3114000000,98000000,2270000000,15465000000,34741000000,19276000000,43185000000
UDR Inc,2020,7900000,604316000,24171000,350508000,52671000,887348000,-,4976548000,64266000,-,129826000,-,49885000,3234200000,9637533000,6403333000,1241165000
Ulta Beauty Inc,2020,317865000,1101293000,2055317000,1137261000,906150000,1196693000,1293701000,-,705945000,1205524000,901094000,-,1760716000,1902094000,4863872000,2961778000,7398068000
Under Armour Inc,2020,-,212864000,3222975000,1413276000,-492544000,-290885000,895974000,1003556000,-549177000,658678000,-613438000,-,2171934000,1675993000,5030628000,3354635000,4474667000
Union Pacific Corp,2020,-,8540000000,4214000000,4173000000,6980000000,10319000000,638000000,25660000000,5349000000,54161000000,7834000000,-,3993000000,16958000000,62398000000,45440000000,19533000000
United Airlines Holdings Inc,2020,87000000,-4133000000,14800000000,12725000000,-8822000000,-7708000000,932000000,25060000000,-7069000000,31466000000,-6359000000,-,10556000000,5960000000,59548000000,53588000000,15355000000
United Parcel Service Inc,2020,-,10459000000,20216000000,17016000000,1844000000,5243000000,-,21689000000,1343000000,32254000000,7684000000,-,46068000000,657000000,62408000000,61751000000,84628000000
United Rentals Inc,2020,-,2658000000,2017000000,1890000000,1139000000,3409000000,125000000,8978000000,890000000,604000000,1800000000,-,979000000,4545000000,17868000000,13323000000,8530000000
UnitedHealth Group Inc,2020,-,22174000000,53718000000,72420000000,20742000000,24216000000,-,38648000000,15403000000,8626000000,22405000000,-,-,65491000000,197289000000.00,131798000000.00,257141000000.00
"Universal Health Services, Inc.",2020,-,2360169000,3281869000,2481039000,1252083000,1837168000,190417000,3524253000,943953000,5373124000,1358354000,-,7017288000,6317146000,13476879000,7159733000,11558897000
US Bancorp (DE),2020,-,3716000000,-,-,6051000000,-,-,-,4959000000,3468000000,-,-,-,53095000000,553905000000.00,500810000000.00,25241000000
Valero Energy Corp,2020,-,948000000,15844000000,9283000000,-2010000000,153000000,6038000000,13954000000,-1421000000,30389000000,-1579000000,-,756000000,18801000000,51774000000,32973000000,64912000000
Ventas Inc,2020,-,1450176000,413327000,1520311000,342807000,1901974000,-,11895412000,439149000,-,550130000,-,130158000,10180167000,23929404000,13749237000,3795357000
Verisign Inc,2020,7500000,730183000,1217940000,988693000,750244000,878925000,-,1790083000,814888000,245571000,824201000,74671000,186003000,-1390198000,1766910000,3157108000,1265052000
Verisk Analytics Inc,2020,8500000,1068200000,794200000,1430800000,897500000,1393800000,-,2699600000,712700000,632300000,1038100000,48900000,413900000,2698200000,7561800000,4863600000,2784600000
Verizon Communications Inc,2020,3107000000,41768000000,54594000000,39660000000,24012000000,42469000000,1796000000,123173000000.00,17801000000,94833000000,28798000000,-,31573000000,67842000000,316481000000.00,248639000000.00,128292000000.00
"Vertex Pharmaceuticals, Inc.",2020,-,3253505000,8133379000,1877533000,3116798000,3262210000,280777000,539042000,2711647000,958534000,2856290000,1829537000,770456000,8686815000,11751808000,3064993000,6205683000
VF Corp.,2020,756300000,874527000,5027016000,3023884000,727208000,1067002000,1293912000,2608269000,679449000,954406000,927805000,-,4547008000,3357334000,11133251000,7775917000,10488556000
ViacomCBS Inc,2020,1310000000,2294000000,13779000000,8296000000,3147000000,4463000000,1757000000,19717000000,2422000000,1994000000,3925000000,-,5320000000,15371000000,52663000000,37292000000,25285000000
Viatris Inc,2020,-,1231800000,12867500000,10562900000,-721200000,66300000,5471900000,22429200000,-669900000,3459900000,-210800000,555100000,3344600000,22954100000,61553000000,38598900000,11946000000
Visa Inc,2020,-,10440000000,27645000000,14510000000,13790000000,14993000000,-,21071000000,10866000000,2737000000,14081000000,-,6987000000,36210000000,80919000000,44709000000,21846000000
Vornado Realty Trust,2020,-,424240000,1808027000,427202000,130224000,747731000,-,7398996000,-297005000,-,-22789000,-,187952000,6533198000,16221822000,9688624000,1527951000
Vulcan Materials Co (Holding Company),2020,-,1070359000,2277165000,1047883000,743798000,1193327000,448585000,2772240000,584480000,4425999000,891734000,-,359772000,6027330000,11686905000,5659575000,4856826000
Wabtec Corp,2020,-,783700000,3879800000,3226300000,547500000,841300000,1642100000,3792200000,414400000,1601600000,744500000,-,948100000,10122300000,18454500000,8332200000,7556100000
Walgreens Boots Alliance Inc,2020,534000000,5484000000,18073000000,27070000000,402000000,2541000000,9451000000,12203000000,456000000,13342000000,972000000,-,27045000000,20637000000,87174000000,66536000000,139537000000.00
Walmart Inc,2020,3700000000,25255000000,61806000000,77790000000,20116000000,33526000000,44435000000,48021000000,14881000000,105208000000.00,20568000000,-,108791000000.00,74669000000,236495000000.00,161826000000.00,523964000000.00
"Waste Management, Inc. (DE)",2020,-,3403000000,3540000000,3553000000,1961000000,3950000000,124000000,13259000000,1496000000,14148000000,2434000000,-,1728000000,7452000000,29345000000,21893000000,15218000000
Waters Corp.,2020,6000000,790507000,1401033000,804983000,610914000,769075000,304281000,1206515000,521571000,494003000,645489000,140777000,553698000,232144000,2839920000,2607776000,2365365000
WEC Energy Group Inc,2020,-,2196000000,2083000000,4148100000,1253500000,2723100000,528600000,11728100000,1201100000,25707400000,1706100000,-,208000000,10500100000,37028100000,26528000000,7241700000
Wells Fargo & Co (New),2020,-,2051000000,-,-,581000000,-,-,-,3301000000,8895000000,-,-,-,184887000000.00,1955163000000.00,1770276000000.00,80303000000
Welltower Inc,2020,-,1364756000,2365109000,418266000,-31552000,1018228000,-,13798720000,978844000,-,-20503000,-,128394000,15972719000,32483642000,16510923000,4605967000
"West Pharmaceutical Services, Inc.",2020,-,472500000,1373700000,503400000,401300000,512800000,321300000,252900000,346200000,943200000,406900000,46900000,306600000,1854500000,2793800000,939300000,2146900000
Western Digital Corp,2020,93000000,824000000,9048000000,4406000000,-46000000,1136000000,3070000000,9289000000,-250000000,2854000000,335000000,2261000000,1153000000,9551000000,25662000000,16111000000,16736000000
Western Union Co,2020,177000000,877500000,1509200000,1698700000,855100000,1031700000,-,2987200000,744300000,150400000,967300000,-,1041200000,186600000,9496300000,9309700000,4835000000
WestRock Co,2020,-,2070700000,4944700000,2928900000,-538400000,910000000,2023400000,9207700000,-690900000,10778900000,-272500000,-,2024900000,10630600000,28779700000,18149100000,17578800000
Weyerhaeuser Co,2020,-,1529000000,1609000000,950000000,982000000,1663000000,443000000,5325000000,797000000,13913000000,1524000000,5000000,430000000,8731000000,16311000000,7580000000,7532000000
Whirlpool Corp,2020,273000000,1500000000,9015000000,8330000000,1455000000,2191000000,2187000000,5059000000,1081000000,3199000000,1616000000,455000000,1877000000,3799000000,20350000000,16551000000,19456000000
Williams Cos Inc (The),2020,-,3496000000,1429000000,2319000000,995000000,3560000000,136000000,21451000000,211000000,28929000000,2202000000,-,466000000,11769000000,44165000000,32396000000,7719000000
Willis Towers Watson Public Ltd Co,2020,-,1774000000,20301000000,19332000000,1338000000,2311000000,-,4664000000,996000000,1014000000,1183000000,-,5507000000,10820000000,38531000000,27711000000,9352000000
Wynn Resorts Ltd,2020,28300000,-1072425000,3813147000,1880888000,-1762275000,-521585000,66285000,12469362000,-2067245000,9196644000,-1232045000,-,788304000,-351997000,13869547000,14221544000,2095861000
Xcel Energy Inc,2020,-,2848000000,3275000000,4239000000,1427000000,4307000000,535000000,19645000000,1473000000,42950000000,2116000000,-,0,14575000000,53957000000,39382000000,11526000000
"Xilinx, Inc.",2020,-,1190836000,2909141000,1085681000,833984000,913327000,304340000,747110000,792721000,372574000,791888000,853589000,432308000,2315049000,4693334000,2378285000,3162666000
Xylem Inc,2020,-,824000000,3523000000,1956000000,283000000,470000000,558000000,2484000000,254000000,657000000,367000000,187000000,1143000000,2968000000,8750000000,5782000000,4876000000
Yum! Brands Inc,2020,68000000,1305000000,1689000000,1675000000,1020000000,1695000000,-,10272000000,904000000,1235000000,1469000000,-,1064000000,-7891000000,5852000000,13743000000,5652000000
Zebra Technologies Corp.,2020,25000000,962000000,1273000000,1851000000,560000000,782000000,511000000,881000000,504000000,274000000,651000000,453000000,787000000,2144000000,5375000000,3231000000,4448000000
Zimmer Biomet Holdings Inc,2020,-,1204500000,5083300000,2556900000,-274400000,970300000,2450700000,7626500000,-138900000,2047700000,-87800000,372000000,3177800000,12194200000,24417700000,12223500000,7024500000
"Zions Bancorporation, N.A.",2020,-,719000000,-,-,672000000,-,-,-,539000000,1209000000,-,-,-,7886000000,81479000000,73593000000,2942000000
Zoetis Inc,2020,233000000,2126000000,6611000000,2170000000,1996000000,2586000000,1628000000,6595000000,1638000000,2202000000,2244000000,463000000,1726000000,3769000000,13609000000,9840000000,6675000000
