Company Name,Year,Advertising % TR,Calculated Tax Rate %,Current Ratio,Earnings Before Tax Margin %,EBITDA Margin %,Gross Margin %,Interest Coverage,Inventories % TA,Inventory Turnover,LT Debt to Equity,Net Current Assets % TA,Net PPE % TA,Net PPE Turnover,Net Profit Margin %,Operating Margin %,Quick Ratio,R&D % TR,Revenue per Employee,ROA % (Net),ROE % (Net),ROI % (Operating),Selling Gen & Admin % TR,Total Asset Turnover,Total Debt to Equity
Packaging Corp of America,2020,-,27.14,3.51,9.50,16.35,20.57,7.74,10.60,6.69,0.77,26.47,42.96,2.09,6.92,10.87,2.44,-,436843,6.27,14.55,12.77,8.10,0.91,0.77
Parker Hannifin Corp,2020,-,20.22,1.55,11.04,15.14,24.89,5.69,9.19,5.89,1.25,8.80,11.62,6.73,8.81,12.80,0.91,2.15,270350,6.45,19.92,12.64,12.10,0.73,1.38
Paychex Inc,2020,-,23.59,1.23,35.57,39.39,68.30,55.11,-,-,0.29,12.14,4.76,9.87,27.18,36.15,0.39,-,255029,12.71,40.55,41.62,32.15,0.47,0.29
Paycom Software Inc,2020,7.95,22.85,1.09,22.10,28.42,85.32,9795.95,0.04,84.69,0.04,5.62,10.94,3.20,17.05,22.12,0.09,10.73,198941,5.62,24.20,29.80,49.19,0.33,0.05
PayPal Holdings Inc,2020,3.05,17.04,1.33,23.61,27.61,54.90,27.18,-,-,0.45,17.83,2.57,12.23,19.59,15.33,1.30,6.53,807373,6.89,22.71,12.91,26.61,0.35,0.45
Penn National Gaming Inc,2020,-,-,2.42,-23.70,0.90,47.80,-,-,-,2.38,8.35,30.88,0.74,-18.71,-11.46,2.26,-,194800,-4.63,-29.62,-4.62,31.60,0.25,2.43
Pentair PLC,2020,-,17.36,1.26,14.32,16.66,35.05,19.31,10.01,4.92,0.40,4.83,7.18,10.30,11.88,15.29,0.64,2.51,308672,8.58,17.62,15.52,17.25,0.72,0.40
People's United Financial Inc,2020,-,37.01,-,15.45,-,-,-,-,-,-,-,0.44,7.73,9.73,-,-,-,375920,0.36,2.82,-,-,0.04,0.13
PepsiCo Inc,2020,4.26,20.88,0.98,12.89,17.81,54.82,8.94,4.49,8.47,3,-0.40,23,3.47,10.12,14.32,0.77,1.02,242493,8.33,50.56,19.35,40.49,0.82,3.28
"PerkinElmer, Inc.",2020,-,19.67,1.36,23.96,26.68,55.78,20.09,6.46,3.84,0.43,7.37,4.63,10.84,19.24,25.87,0.94,5.43,265826,9.88,21.87,18.14,24.27,0.51,0.53
Pfizer Inc,2020,4.30,6.36,1.35,17.89,29.37,79.26,5.60,5.22,1.06,0.59,5.93,9.01,3,22.95,18.38,0.78,22.44,532401,5.96,15.18,7.04,27.72,0.26,0.63
Philip Morris International Inc,2020,2.22,21.70,1.10,38.17,43.74,66.65,18.88,21.40,1.02,-,4.19,14.20,4.40,28.08,40.66,0.56,1.73,403037,18.32,-,60.55,25.73,0.65,-
Phillips 66,2020,0.08,-,1.39,-7.58,-4.69,4.92,-,7.11,16.24,0.79,6.87,43.34,2.75,-6.07,-6.82,0.86,0.07,4567486,-6.99,-18.06,-12.45,2.36,1.15,0.84
Pinnacle West Capital Corp,2020,-,12.06,0.88,18.07,42.91,45.57,3.64,1.67,5.74,1.12,-0.81,75.72,0.24,15.35,21.97,0.25,-,593625,2.85,9.92,6.75,0,0.19,1.15
Pioneer Natural Resources Co,2020,-,-,1.36,-3.90,23.62,7.31,-,1.16,21.24,0.27,3.58,83.33,0.42,-2.99,-1.97,1.19,-,3597806,-1.04,-1.68,-0.90,3.65,0.35,0.29
PNC Financial Services Group (The),2020,-,12.42,-,18.78,-,-,-,-,-,-,-,-,-,41.16,-,-,-,355310,1.71,14.51,-,-,0.04,0.62
Pool Corp,2020,0.17,18.87,2.32,11.47,12.50,28.73,37.56,44.89,3.78,0.63,36.71,6.22,35.61,9.32,11.79,0.65,-,872415,22.70,69.69,46.81,16.76,2.44,0.65
PPG Industries Inc,2020,1.61,21.49,1.41,9.79,13.30,43.78,12.25,8.87,4.51,0.91,10.06,15.99,4.52,7.66,10.19,0.96,2.74,294162,5.67,19.25,12.91,24.50,0.74,1.01
PPL Corp,2020,-,25.47,0.46,25.91,55.86,40.88,2.83,0.75,9.26,1.61,-6.67,80.83,0.20,19.31,36.85,0.35,-,615864,3.12,11.11,7.53,0,0.16,1.85
Principal Financial Group Inc,2020,-,15.65,-,11.49,-,-,-,-,-,-,-,0.34,14.80,9.47,-,-,-,844909,0.49,8.93,-,-,0.05,0.26
Procter & Gamble Company (The),2020,10.33,17.25,0.85,22.32,27,50.32,50.66,4.56,6.70,0.51,-4.13,17.14,3.37,18.36,22.14,0.62,2.58,714709,11.02,27.73,19.76,28.18,0.60,0.75
Progressive Corp. (OH),2020,-,20.47,-,16.82,-,-,-,-,-,-,-,1.73,36.68,13.37,-,-,-,981894,9.56,37.05,-,-,0.72,0.32
Prologis Inc,2020,-,9,0.59,32.66,72.24,43.36,4.47,-,-,0.53,-1.17,0.21,39.32,33.38,31.58,0.49,-,2275891,3.08,5.41,3.35,11.10,0.09,0.53
Prudential Financial Inc,2020,-,-,-,-0.57,-,-,-,-,-,-,-,-,-,-0.66,-,-,-,1364910,-0.04,-0.57,-,-,0.06,0.31
PTC Inc,2020,0.26,2.98,1.22,9.24,18.14,77.08,2.76,-,-,0.70,4.51,3,14.05,8.96,14.46,1.06,17.59,232970,4.31,9.87,9.75,40.82,0.48,0.70
Public Service Enterprise Group Inc,2020,-,17.32,0.66,23.82,42.75,35.74,4.03,1.75,6.95,0.91,-3.78,75.09,0.26,19.84,22.36,0.39,-,748887,3.89,12.23,6.64,-,0.20,1.08
Public Storage,2020,-,-,-,43.93,45.65,70.24,41.55,-,-,0.30,-,-,-,46.56,48.41,-,-,538352,11.68,15.36,12.75,2.85,0.25,0.30
PulteGroup Inc,2020,0.37,18.64,8.89,15.65,16.22,25.17,-,63.26,1.07,0.48,77.46,1.08,90.41,12.75,15.62,2.32,-,2096767,12.24,23.33,18.81,9.16,0.96,0.48
PVH Corp,2020,5.14,6.65,1.44,4.38,8.32,54.38,4.79,11.85,2.70,0.46,7.58,7.53,9.88,4.21,5.54,0.53,-,248406,3.28,7.19,6.39,48.49,0.78,0.47
Qorvo Inc,2020,-,15.38,3.14,12.20,28.17,40.81,8.76,7.88,3.73,0.37,17.55,19.19,2.47,10.32,13.07,2.02,14.96,411144,5.42,7.75,7.62,10.61,0.53,0.37
Qualcomm Inc,2020,-,9.08,2.14,24.39,29.57,60.67,14.02,7.30,4.63,2.51,27.66,10.43,6.95,22.09,26.58,1.75,25.39,575504,15.21,94.89,29.42,8.81,0.69,2.59
"Quanta Services, Inc.",2020,-,21.32,1.68,5,8.07,14.83,14.10,0.60,179.71,0.27,17.26,18.58,7.58,3.98,5.36,1.35,-,312069,5.31,10.59,10.84,8.70,1.34,0.29
"Quest Diagnostics, Inc.",2020,-,24.42,1.72,19.96,22.78,38.50,12.09,1.59,33.55,0.59,9.14,11.60,6.11,15.16,20.89,1.50,-,235280,10.62,23.02,18.56,16.42,0.70,0.59
Ralph Lauren Corp,2020,4.51,-17.74,1.61,5.30,9.40,59.31,-,10.11,3.23,0.22,17.63,13.45,6.12,6.24,5.15,1.17,-,248061,5.83,12.89,7.68,52.56,0.93,0.51
"Raymond James Financial, Inc.",2020,-,22.24,0.39,12.88,14.18,97.82,137.44,-,-,0.41,-48.21,1.13,15.34,10.01,12.88,0.38,-,414855,1.89,11.91,10.86,76.82,0.19,0.45
Raytheon Technologies Corp,2020,-,-,1.21,-4.16,1.38,15.08,-,5.80,4.72,0.43,4.64,9.23,4.07,-6.22,-3.34,0.50,4.56,311781,-2.33,-6.16,-1.99,9.79,0.37,0.44
Realty Income Corp,2020,-,-,1.90,24.01,66.48,74.94,42.53,-,-,0.80,2.54,-,-,23.95,19.71,1.89,-,7843392,2.01,3.80,1.73,5.32,0.08,0.80
Regency Centers Corp,2020,-,-,1.25,1.29,47.65,83.26,1.72,-,-,0.66,0.70,-,-,4.42,26.53,1.20,-,2351273,0.41,0.73,2.68,7.38,0.09,0.66
"Regeneron Pharmaceuticals, Inc.",2020,-,7.80,3.63,44.84,48.23,86.82,62.86,11.17,0.67,0.18,41.26,18.77,2.77,41.35,42.09,2.71,32.19,928848,21.92,31.69,28.76,15.84,0.53,0.18
Regions Financial Corp (New),2020,-,16.74,-,19.74,-,-,-,-,-,-,-,1.29,3.44,16.44,-,-,-,341998,0.80,6.34,-,-,0.05,0.20
Republic Services Inc,2020,-,13.12,0.67,12.33,25.79,39.92,4.88,0.25,105.27,1.03,-3.24,37.24,1.18,9.53,16.83,0.52,-,289310,4.18,11.62,9.96,10.37,0.44,1.05
ResMed Inc.,2020,-,14.70,2.53,25.64,31.88,58.09,20.57,9.09,3.10,0.47,20.07,9.10,7.33,21.02,27.38,1.54,6.83,379528,14.26,27.14,23.02,22.88,0.68,0.47
Robert Half International Inc.,2020,0.73,27.40,1.76,8.26,9.47,39.39,-,-,-,-,31.13,4.29,42.78,5.99,8.23,1.22,-,31162,12.55,26.01,35.70,32.61,2.09,-
"Robinson (C.H.) Worldwide, Inc.",2020,-,19.40,1.60,3.88,4.42,14.88,14.98,-,-,0.58,21.42,3.48,83.45,3.12,4.15,1.46,-,1085628,10.32,28.45,22.84,10.73,3.30,0.58
"Rockwell Automation, Inc.",2020,-,9.94,1.48,17.95,22.23,41,12.97,8.04,6.44,1.92,12.04,7.91,11.01,16.17,20.09,1.07,5.87,268617,15.26,142.54,44.58,23.38,0.94,1.95
"Rollins, Inc.",2020,3.99,26.47,0.67,16.41,18.53,51.48,71.11,1.67,41.68,0.20,-8.55,9.65,11.54,12.07,16.72,0.51,-,138020,14.49,29.61,32.01,30.36,1.20,0.22
Roper Technologies Inc,2020,-,21.47,0.72,21.88,35.26,64.10,6.54,0.83,10,0.86,-2.88,0.59,39.30,17.18,25.89,0.57,8.07,299565,4.50,9.48,8.20,38.21,0.26,0.91
Ross Stores Inc,2020,0.46,23.26,1.27,13.49,15.57,28.07,-,19.60,6.44,0.09,7.82,28.38,6.27,10.36,13.38,0.54,-,173872,21.60,49.98,59.04,14.69,2.09,0.09
Royal Caribbean Group,2020,9.38,-,0.95,-261.46,-159.20,-25.19,-,0.37,19.69,2.05,-0.69,77.77,0.09,-262.47,-208.33,0.87,-,25915,-18.42,-55.26,-17.89,54.31,0.07,2.21
S&P Global Inc,2020,0.39,21.50,1.67,43.38,48.04,71.89,25.54,-,-,8.07,19.15,2.27,24.58,31.43,48.39,1.59,-,322681,19.53,472.19,79.40,20.73,0.62,8.07
Salesforce.Com Inc,2020,3.86,82.15,1.08,4.13,6.79,75.23,38.80,-,-,0.08,2.03,4.31,7.73,0.74,1.74,0.95,16.18,348939,0.29,0.51,1.07,56.35,0.40,0.08
SBA Communications Corp (New),2020,-,-,0.77,-0.85,32.60,77.12,1.55,-,-,-,-1.55,29.23,0.76,1.16,30.42,0.67,-,1400840,0.25,-,9.77,9.33,0.22,-
Schein (Henry) Inc,2020,0.30,19.08,1.66,4.94,5.89,27.81,16.97,19.46,4.97,0.15,19.41,4.40,30.22,3.99,5.29,0.81,-,534050,5.43,12.76,13.76,22.20,1.36,0.21
Schlumberger Ltd,2020,-,-,1.23,-47.34,-38.27,12.02,-,7.90,5.61,1.33,5.72,16.09,2.96,-44.07,-44.98,0.79,2.43,276777,-21.24,-58.55,-31.48,1.53,0.48,1.40
Schwab (Charles) Corp (The),2020,-,23.28,0.34,35.51,40.50,147.03,561.77,-,-,0.24,-55.93,0.53,4.82,27.24,35.51,0.23,-,377372,0.78,8.46,8.67,52.37,0.03,0.24
Seagate Technology Holdings PLC,2020,0.18,2.71,1.51,9.82,14.77,27.04,7.18,12.79,7.26,2.33,15.59,23.84,5.17,9.55,12.37,1.04,9.26,246168,11.09,50.03,20.67,4.50,1.16,2.34
Sealed Air Corp,2020,-,22.69,1.38,12.77,19.88,32.82,4.52,9.81,5.65,21.63,8.45,19.56,4.19,10.26,16.07,0.84,1.96,296352,8.47,-,20.82,15.76,0.83,21.80
Sempra,2020,-,16.72,0.66,13.10,36.11,44.34,2.60,0.46,21.63,0.93,-3.49,60.04,0.30,34.59,22.21,0.43,-,771041,5.93,18.12,5.40,4.78,0.17,1.04
ServiceNow Inc,2020,3.81,20.57,1.21,3.30,10.40,78.16,4,-,-,0.58,9,7.57,7.99,2.62,4.40,1.10,22.66,344161,1.60,4.76,5.44,51.09,0.61,0.58
Sherwin-Williams Co (The),2020,1.98,19.40,1,13.72,18.72,47.29,8.47,8.84,5.24,2.29,-0.01,8.99,9.98,11.06,15.53,0.50,0.53,300037,9.90,52.36,23.02,29.83,0.90,2.30
"Simon Property Group, Inc.",2020,-,-,0.67,22.95,69.38,90.67,2.51,-,-,8.29,-3.24,-,-,24.15,42.80,0.66,-,1392398,3.36,37.16,6.92,6.36,0.14,8.29
Skyworks Solutions Inc,2020,-,8.62,5.17,26.57,37.43,48.06,116.51,15.78,2.46,-,36.60,24.47,2.69,24.28,26.58,3.05,13.83,330143,16.12,19.35,21.18,6.90,0.66,-
Smith (A O) Corp,2020,3.35,22.30,1.83,15.33,18.35,38.28,60.30,9.49,5.93,0.06,23.15,17.13,5.31,11.91,15.20,1.44,2.79,207726,11.06,19.57,22.44,22.81,0.93,0.06
Smucker (J.M.) Co.,2020,2.55,24.08,1.24,13.16,18.28,38.48,6.46,5.28,5.32,0.66,2.27,11.60,4.01,9.99,15.68,0.59,0.74,1065710,4.62,9.62,8.81,18.90,0.46,0.69
"Snap-On, Inc.",2020,0.96,22.64,2.65,21.19,24.97,44.35,16.84,11.38,2.58,0.31,29.25,8.02,7.40,15.90,22.34,1.89,1.46,315321,10.07,17.05,17.99,-,0.63,0.38
Southern Company (The),2020,-,11.76,0.71,16.41,42.61,48.57,2.65,2.02,4.30,1.59,-2.82,71.28,0.24,15.38,23.66,0.36,-,733550,2.59,11.15,6.43,0,0.17,1.72
Southwest Airlines Co,2020,1.72,-,2.02,-47.04,-30.05,57.57,-,1.20,8.14,1.14,22.17,45.77,0.55,-33.97,-42.18,1.93,-,159704,-10.14,-32.77,-24.01,64.59,0.30,1.16
Stanley Black & Decker Inc,2020,0.53,3.27,1.32,8.72,14.11,34.18,7.24,11.62,3.83,0.38,6.27,8.71,7.13,8.49,10.22,0.63,1.45,224836,5.50,12.02,10.45,20.97,0.65,0.38
Starbucks Corp.,2020,1.10,28.47,1.06,3.58,11.66,67.28,3.12,5.28,5,-,1.56,21.25,3.72,3.95,5.27,0.75,-,67572,3.83,-,18.44,52.91,0.97,-
State Street Corp.,2020,-,16.52,-,24,-,-,-,-,-,-,-,0.68,5.43,20.04,-,-,-,305408,0.86,9.53,-,-,0.04,0.53
STERIS plc (Ireland),2020,0.42,18.22,2.40,16.45,21.77,43.55,14.02,4.58,7.50,0.34,13,20.49,2.82,13.45,17.72,1.78,2.16,23251,7.74,12.37,12.03,23.65,0.58,0.34
Stryker Corp,2020,-,18.17,1.93,13.62,19.27,63.11,290.42,10.18,1.56,1.01,13.59,8.02,5.38,11.14,15.49,1.14,6.86,332832,4.94,12.32,8.70,37.36,0.44,1.07
SVB Financial Group,2020,-,25.70,-,42.67,-,-,-,-,-,-,-,0.15,24.11,29.60,-,-,-,912487,1.29,16.41,-,-,0.04,0.10
Synchrony Financial,2020,-,22.93,-,10.91,-,-,-,-,-,-,-,-,-,8.41,-,-,-,995575,1.38,9.94,-,-,0.16,1.24
Synopsys Inc,2020,-,-3.96,1.19,17.32,23.07,78.44,392.74,2.40,4.45,0.02,5.10,6.03,8.05,18.03,16.83,0.94,34.71,244428,9.18,14.74,13.36,24.87,0.51,0.03
Sysco Corp,2020,-,26.56,1.84,0.55,2.66,18.72,1.84,13.68,13.62,11.14,24.88,19.70,11.84,0.41,1.42,1.33,-,930502,1.06,11.80,5.72,-,2.61,12.47
T Rowe Price Group Inc.,2020,-,22.17,2.44,52.24,55.29,-,358.71,-,-,-,16.69,6.52,9.04,38.23,44.24,2.43,-,806166,23.67,31.96,36.98,48.77,0.62,-
T-Mobile US Inc,2020,2.63,22.27,1.10,5.16,28.26,58.67,2.46,1.26,16.19,1.09,1.09,20.57,2.16,4.48,9.70,0.84,-,909468,2.13,6.49,6.61,27.67,0.48,1.17
"Take-Two Interactive Software, Inc.",2020,9.25,11.77,1.71,14.84,15.02,50.07,-,0.39,65.21,-,29.40,2.67,23.72,13.09,13.77,1.27,9.60,531126,8.78,17.61,18.52,25.14,0.67,-
Tapestry Inc,2020,4.80,-,1.47,-12.58,-6.37,65.29,-,9.30,2.27,0.70,10.23,9.78,5.81,-13.14,-11.10,0.93,-,287574,-8.84,-22.59,-11.40,66.76,0.67,1.01
Target Corp,2020,2.11,21.98,0.89,5.36,9.29,29.76,9.77,21.02,5.93,0.96,-3.71,66.67,2.80,4.20,5.96,0.24,-,212844,7.83,28.45,20.35,20.78,1.86,0.97
TE Connectivity Ltd,2020,-,149.43,1.57,4.30,8.92,30.69,16.27,10.13,4.46,0.37,10.88,18.97,3.38,-1.98,4.41,0.90,4.43,148847,-1.24,-2.42,3.84,11.44,0.63,0.44
Teledyne Technologies Inc,2020,-,14.43,2.26,15.22,18.20,38.26,31.38,6.83,5.14,0.21,18.91,9.62,6.21,13.02,15.56,1.69,6.35,284563,8.18,13.31,12.48,22.71,0.63,0.24
Teleflex Incorporated,2020,-,6.13,2.63,14.10,25.63,52.22,6.48,7.17,2.45,0.71,12.34,6.63,5.59,13.22,16.67,1.41,4.72,180730,4.97,10.59,7.88,29.31,0.38,0.74
"Teradyne, Inc.",2020,0.41,12.97,3.45,28.87,33,57.21,51.01,6.08,6.38,0.17,46.94,10.81,8.71,25.12,29.74,2.76,-,565989,24.29,42.37,41.19,14.89,0.97,0.19
Tesla Inc,2020,-,25.30,1.88,3.66,10.91,21.02,2.78,7.86,6.51,0.43,23.91,24.44,2.72,2.29,6.32,1.49,4.73,444477,1.66,4.99,7.37,9.97,0.73,0.53
Texas Instruments Inc.,2020,0.19,7.01,4.28,41.61,48.41,64.10,31.02,10.10,2.62,0.68,40.56,16.89,4.39,38.69,40.76,3.34,10.58,480716,29.86,61.67,38.30,11.22,0.77,0.74
Textron Inc,2020,-,-9.57,2.26,2.42,6.63,13.36,2.70,22.75,2.66,0.66,26.72,16.29,4.63,2.65,3.85,0.89,4.71,354031,2.03,5.45,4.60,8.97,0.77,0.75
The Gap Inc,2020,4.19,33.52,1.41,3.22,6.89,37.44,12.48,15.76,4.78,0.38,9.55,22.82,5.45,2.14,3.50,0.61,-,127349,3.24,10.25,12.29,-,1.51,0.38
Thermo Fisher Scientific Inc,2020,-,11.76,2.13,22.43,31.16,49.67,15.97,5.83,4.38,0.55,16.88,8.56,6.03,19.79,24.19,1.56,3.67,401625,9.98,19.81,15,21.51,0.50,0.63
"TJX Companies, Inc.",2020,1.08,25.74,1.24,10.56,12.67,28.46,440.48,20.18,6.32,0.38,7.21,22.05,7.91,7.84,10.59,0.50,-,146264,17.06,59.68,56.37,17.87,2.17,0.38
Tractor Supply Co.,2020,0.95,22.64,1.87,9.12,11.43,35.42,34.64,25.30,4.05,0.53,21.49,17.72,8.83,7.05,9.39,0.76,-,259745,12.17,43.03,40.44,23.34,1.73,0.53
Trane Technologies plc,2020,-,23.04,1.59,10.34,13.69,30.54,6.28,6.55,5.96,0.70,14.14,7.43,7.87,6.86,12.31,1.26,1.32,354876,4.41,12.47,12.47,18.23,0.64,0.82
TransDigm Group Inc,2020,-,11.76,4.31,14.50,40.21,51.87,1.70,6.97,1.95,-,29.05,4.09,6.75,13.70,34.31,3.36,2.57,358384,4.02,-,11.63,14.25,0.29,-
Travelers Companies Inc (The),2020,-,16.68,-,10.12,-,-,-,-,-,-,-,-,-,8.43,-,-,-,1042275,2.37,9.75,-,-,0.28,0.22
Trimble Inc,2020,0.91,1.24,0.98,11.30,17.10,55.75,5.41,4.39,4.54,0.36,-0.43,3.66,12.80,12.39,13.34,0.65,15.12,276824,5.78,11.64,8.33,24.40,0.47,0.43
Truist Financial Corp,2020,-,17.92,-,22.96,-,-,-,-,-,-,-,0.76,6.27,18.80,-,-,-,432430,0.91,6.52,-,-,0.05,0.55
Twitter Inc,2020,1.51,-,4.42,-1.37,13.06,63.23,0.41,-,-,0.32,49.96,11.17,2.93,-30.56,0.72,4.36,23.49,673854,-8.68,-13.58,0.23,39.02,0.28,0.44
"Tyler Technologies, Inc.",2020,-,-11.30,1.97,15.68,19.90,48.58,22.59,-,-,-,21.05,6.44,6.55,17.45,15.49,1.88,7.91,201158,8.10,10.78,9.57,23.24,0.46,-
Tyson Foods Inc,2020,0.66,22.38,1.86,6.41,9.60,12.47,6.56,11.93,9.16,0.70,10.50,21.86,5.71,4.96,7.21,0.79,0.23,305659,6.21,14.25,11.60,5.26,1.25,0.73
UDR Inc,2020,0.64,4.83,0.07,4.24,71.49,17.29,0.66,-,-,1.54,-3.39,-,-,5.18,10.46,-,-,973858,0.67,1.94,1.59,4.02,0.13,1.54
Ulta Beauty Inc,2020,4.30,22.09,1.81,12.25,16.18,36.24,-,26.60,3.76,-,18.88,24.79,6.10,9.54,12.18,0.56,-,168600,17.58,38.03,48.55,23.80,1.84,-
Under Armour Inc,2020,-,-,2.28,-11.01,-6.50,48.27,-,17.81,2.59,0.60,35.97,13.09,6.15,-12.27,-13.71,1.44,-,268822,-11.09,-28.63,-22.56,48.54,0.90,0.60
Union Pacific Corp,2020,-,23.37,1.01,35.73,52.83,78.75,6.94,1.02,5.98,1.51,0.07,86.80,0.36,27.38,40.11,0.81,-,629187,8.60,30.41,17.96,20.44,0.31,1.58
United Airlines Holdings Inc,2020,0.57,-,1.16,-57.45,-50.20,29.25,-,1.57,8.36,4.20,3.48,52.84,0.50,-46.04,-41.41,1.02,-,205821,-12.57,-80.61,-21.33,68.75,0.27,4.56
United Parcel Service Inc,2020,-,27.17,1.19,2.18,6.20,75.68,10.96,-,-,33.01,5.13,51.68,2.69,1.59,9.08,1,-,155427,2.23,68.26,28.93,54.44,1.40,37
United Rentals Inc,2020,-,21.86,1.07,13.35,39.96,37.32,2.69,0.70,30.58,1.98,0.71,3.38,14.08,10.43,21.10,0.80,-,466120,4.82,21.20,12.18,11.48,0.46,2.13
UnitedHealth Group Inc,2020,-,23.98,0.74,8.07,9.42,9.84,13.47,-,-,0.59,-9.48,4.37,29.59,5.99,8.71,0.62,-,777086,8.28,24.96,21.56,-,1.38,0.66
"Universal Health Services, Inc.",2020,-,23.90,1.32,10.83,15.89,-,12.78,1.41,65.81,0.56,5.94,39.87,2.22,8.17,11.75,1.19,-,129520,7.49,15.93,13.78,60.71,0.92,0.61
US Bancorp (DE),2020,-,17.62,-,23.97,-,-,-,-,-,-,-,0.63,7.02,19.65,-,-,-,369590,0.94,9.42,-,-,0.05,0.70
Valero Energy Corp,2020,-,-,1.71,-3.10,0.24,-1.14,-,11.66,9.71,0.74,12.67,58.70,2.17,-2.19,-2.43,1.01,-,6496853,-2.68,-6.98,-4.85,1.16,1.23,0.78
Ventas Inc,2020,-,-28.16,0.27,9.03,50.11,48.89,1.17,-,-,1.17,-4.63,-,-,11.57,14.49,0.26,-,8448632,1.80,4.25,2.46,3.43,0.16,1.17
Verisign Inc,2020,0.59,-8.62,1.23,59.31,69.48,85.76,10.01,-,-,-,12.97,13.90,5.09,64.42,65.15,1.18,5.90,1387894,44.89,-,235.74,14.70,0.70,-
Verisk Analytics Inc,2020,0.31,20.59,0.56,32.23,50.05,64.31,7.51,-,-,1,-8.42,8.36,4.71,25.59,37.28,0.45,1.76,309932,9.73,28.67,18.28,14.86,0.38,1.19
Verizon Communications Inc,2020,2.42,23.40,1.38,18.72,33.10,60.09,6.89,0.57,31.82,1.82,4.72,29.96,1.37,13.88,22.45,1.16,-,967787,5.84,27.47,15.53,24.61,0.42,1.90
"Vertex Pharmaceuticals, Inc.",2020,-,13,4.33,50.22,52.57,88.14,79.54,2.39,3.29,0.06,53.23,8.16,7.27,43.70,46.03,4.02,29.48,1820214,26.95,36.61,35.94,12.42,0.62,0.06
VF Corp.,2020,7.21,13.48,1.66,6.93,10.17,55.28,12.85,11.62,2.90,0.78,17.99,8.57,10.46,6.48,8.85,0.88,-,219112,6.34,17.80,13.03,43.35,0.98,1.14
ViacomCBS Inc,2020,5.18,17,1.66,12.45,17.65,40.71,4.04,3.34,6.47,1.28,10.41,3.79,12.36,9.58,15.52,1.20,-,957324,4.73,16.90,11.68,21.04,0.49,1.28
Viatris Inc,2020,-,-,1.22,-6.04,0.55,31.78,-,8.89,2,0.98,3.74,5.62,4.25,-5.61,-1.76,0.55,4.65,264741,-1.44,-3.84,-0.60,28,0.26,1.03
Visa Inc,2020,-,21.20,1.91,63.12,68.63,-,27.29,-,-,0.58,16.23,3.38,8.02,49.74,64.46,1.58,-,1062747,14.12,30.57,25.14,31.98,0.28,0.66
Vornado Realty Trust,2020,-,28.13,4.23,8.52,48.94,48.36,-,-,-,1.13,8.51,-,-,-19.44,-1.49,3.97,-,525621,-1.72,-4.47,-0.16,12.30,0.09,1.13
Vulcan Materials Co (Holding Company),2020,-,20.95,2.17,15.31,24.57,26.39,6.64,3.84,7.88,0.46,10.52,37.87,1.11,12.03,18.36,1.67,-,574494,5.22,10.01,10.04,7.41,0.43,0.55
Wabtec Corp,2020,-,26.47,1.20,7.25,11.13,28.28,3.74,8.90,3.17,0.37,3.54,8.68,4.63,5.48,9.85,0.62,-,279091,2.21,4.12,5.17,12.55,0.40,0.42
Walgreens Boots Alliance Inc,2020,0.38,89.55,0.67,0.29,1.82,20.08,1.52,10.84,11.87,0.59,-10.32,15.31,10.38,0.33,0.70,0.28,-,420410,0.59,2.06,2.53,19.38,1.80,0.76
Walmart Inc,2020,0.71,24.43,0.79,3.84,6.40,24.69,8.53,18.79,8.90,0.64,-6.76,44.49,5,2.84,3.93,0.20,-,238165,6.53,20.22,15.84,20.76,2.30,0.73
"Waste Management, Inc. (DE)",2020,-,20.24,1,12.89,25.96,38.62,5.73,0.42,81.23,1.78,-0.04,48.21,1.12,9.83,15.99,0.89,-,314537,5.23,20.55,11.61,11.35,0.53,1.85
Waters Corp.,2020,0.25,14.62,1.74,25.83,32.51,57.44,19.68,10.71,3.22,5.20,20.99,17.39,5.18,22.05,27.29,1.26,5.95,318771,19.28,6557.98,42.16,23.41,0.87,5.84
WEC Energy Group Inc,2020,-,18.18,0.50,17.31,37.60,39.91,3.46,1.43,8.07,1.12,-5.58,69.43,0.29,16.59,23.56,0.29,-,992976,3.33,11.60,7.14,2.87,0.20,1.36
Wells Fargo & Co (New),2020,-,-517.21,-,0.72,-,-,-,-,-,-,-,0.45,8.80,4.11,-,-,-,298228,0.17,1.77,-,-,0.04,1.15
Welltower Inc,2020,-,-,5.65,-0.69,22.11,7.84,-,-,-,0.86,5.99,-,-,21.25,-0.45,4.50,-,10859060,2.96,6.20,-0.07,2.79,0.14,0.86
"West Pharmaceutical Services, Inc.",2020,-,18.07,2.73,18.69,23.89,35.76,59.84,11.50,4.95,0.14,31.15,33.76,2.40,16.13,18.95,1.97,2.18,232721,13.45,20.14,20.60,14.28,0.83,0.14
Western Digital Corp,2020,0.56,-,2.05,-0.27,6.79,22.59,0.87,11.96,4.08,0.97,18.09,11.12,5.78,-1.49,2,1.23,13.51,258077,-0.95,-2.52,1.66,6.89,0.63,1
Western Union Co,2020,3.66,12.96,0.89,17.69,21.34,41.54,8.39,-,-,16.01,-2,1.58,28.59,15.39,20.01,0.83,-,438345,8.13,1009.20,29.94,21.53,0.53,16.44
WestRock Co,2020,-,-,1.69,-3.06,5.18,18.19,-,7.03,6.96,0.87,7,37.45,1.60,-3.93,-1.55,0.81,-,355594,-2.34,-6.18,-1.30,11.52,0.59,0.89
